City,Lat,Lng,Temp Max,Humidity,Cloudiness,Wind Speed,Country,Date
santa cruz,-17.8,-63.17,35.0,39,40,10.3,BO,1603393205
amahai,-3.33,128.92,25.54,84,0,1.4,ID,1603393445
kruisfontein,-34.0,24.73,19.44,81,0,0.89,ZA,1603393452
tuatapere,-46.13,167.68,10.56,90,100,0.89,NZ,1603393455
byron bay,-28.65,153.62,18.0,88,75,1.43,AU,1603393255
khorixas,-20.37,14.97,16.23,68,70,4.73,NA,1603393464
grand gaube,-20.01,57.66,21.67,78,0,1.34,MU,1603393471
catamayo,-3.98,-79.35,27.0,42,75,7.2,EC,1603393472
henties bay,-22.12,14.28,17.22,83,0,0.89,NA,1603393483
tevaitoa,-16.78,-151.5,26.49,73,30,3.81,PF,1603393496
cabedelo,-6.98,-34.83,28.0,74,75,6.2,BR,1603393499
maraa,-1.83,-65.37,34.28,47,75,1.38,BR,1603393511
vila velha,-20.33,-40.29,25.0,83,75,5.1,BR,1603393342
vao,-22.67,167.48,23.02,87,100,6.71,NC,1603393523
lima,-12.04,-77.03,20.0,68,40,5.1,PE,1603393321
batemans bay,-35.72,150.18,15.56,98,11,1.75,AU,1603393540
richards bay,-28.78,32.04,21.4,81,100,4.23,ZA,1603393545
souillac,-20.52,57.52,24.0,73,75,3.6,MU,1603393546
namibe,-15.2,12.15,21.46,83,62,2.89,AO,1603393553
coihaique,-45.58,-72.07,17.0,46,0,3.1,CL,1603393351
monkey bay,-14.07,34.92,27.78,50,33,4.44,MW,1603393591
aracati,-4.56,-37.77,29.22,64,1,6.75,BR,1603393525
belmonte,-15.86,-38.88,26.0,74,75,5.7,BR,1603393617
sambava,-14.27,50.17,23.59,79,0,6.33,MG,1603393619
nabire,-3.37,135.48,23.66,83,95,1.55,ID,1603393629
namatanai,-3.67,152.43,26.56,77,36,4.22,PG,1603393644
santarem,-2.44,-54.71,31.0,66,75,3.1,BR,1603393655
manggar,-2.88,108.27,26.78,80,100,2.26,ID,1603393660
nelson bay,-32.72,152.15,16.67,93,10,4.6,AU,1603393661
caravelas,-17.71,-39.25,26.36,70,93,3.03,BR,1603393575
mount isa,-20.73,139.5,23.0,83,90,2.1,AU,1603393670
manokwari,-0.87,134.08,26.9,74,95,3.29,ID,1603393671
waipawa,-41.41,175.52,14.44,82,0,7.7,NZ,1603393673
machali,-34.18,-70.67,26.96,26,0,2.94,CL,1603393678
